experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,037500000,first_0,-18.610169491525422,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,038000000,first_0,-18.838709677419356,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,038500000,first_0,-18.03076923076923,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,039000000,first_0,-18.74074074074074,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,039500000,first_0,-17.928571428571427,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,040000000,first_0,-18.264150943396228,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,008500000,first_0,-16.323943661971832,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,040500000,first_0,-17.647058823529413,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,041000000,first_0,-20.31578947368421,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,041500000,first_0,-18.90909090909091,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,042000000,first_0,-20.37037037037037,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,042500000,first_0,-18.8,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,043000000,first_0,-18.444444444444443,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,043500000,first_0,-3.6,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,044000000,first_0,-10.0,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,044500000,first_0,-7.2,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,045000000,first_0,-14.25,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,009000000,first_0,-8.549295774647888,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,045500000,first_0,-19.419354838709676,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_double_dunk_v2_RB1_F50000000_S0,046000000,first_0,-18.76923076923077,nan,nan,nan,False,False
